Name	Eads	Site_Type	Ag	Au	Cu	Ir	Pd	Pt	Rh	Ru	AWF	AEL	AELA	TotEl	AValEl	Avg_Mass	Avg_Adsorption_111	Avg_Adsorption_100	Avg_Charge	ADBND	ACN	CN1	CN2	CN3	CN4
2_18_53	-1.72265	2	0	0	0	0	1	1	0	0	5.575	2.24	1.345	20	10	150.75	-0.95	-1.15	0.136666	-2.819056	8.5	7	10	0	0
2_18_56	-1.83605	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.236184	-2.939699	5	5	0	0	0
2_41_53	-1.78942	3	0	0	1	0	1	1	0	0	5.267	2.127	1.31	21	7	121.683	-0.8	-0.967	0.046768	-2.800101	7.667	8	7	8	0
2_41_56	-1.93874	3	0	0	0	0	1	1	1	0	5.377	2.253	1.277	29	9.667	134.803	-1	-1.2	0.038397	-2.85497	7.667	6	9	8	0
35_47_68	-2.67859	2	0	0	0	1	0	0	1	0	5.325	2.24	1.35	18	9	147.565	-1.15	-1.35	0.085511	-3.017755	6.5	6	7	0	0
36_37_40	-2.35064	3	0	0	0	2	1	0	0	0	5.52	2.2	1.227	28	9.333	163.62	-1.1	-1.3	0.049424	-3.178285	7.667	7	7	9	0
36_59_61	-2.30134	3	0	0	0	1	0	0	2	0	5.21	2.253	1.28	27	9	132.68	-1.133	-1.333	0.033688	-3.226398	8.667	9	8	9	0
38_48_57	-2.48511	2	0	0	0	1	0	1	0	0	5.8	2.24	1.845	19	9.5	193.65	-1.1	-1.3	0.211439	-3.182602	7.5	6	9	0	0
38_48_73	-2.50155	2	0	0	0	1	0	0	0	1	5.19	2.2	1.305	17	8.5	146.645	-1.25	-1.45	-0.041725	-3.642767	8.5	10	7	0	0
3_14_71	-3.06239	1	0	0	0	0	0	0	0	1	4.71	2.2	1.05	8	8	101.07	-1.3	-1.5	-0.23465	-3.392844	8	8	0	0	0
3_26_42	-0.978	3	1	0	1	0	1	0	0	0	4.71	2.01	1.033	12	4	92.613	-0.533	-0.667	-0.041127	-2.89697	6	9	5	4	0
3_26_47	-1.4478	3	0	0	1	0	1	0	1	0	4.95	2.127	0.98	20	6.667	90.96	-0.833	-1	-0.03723	-2.484449	6.333	6	8	5	0
3_42_71	-3.05747	1	0	0	0	0	0	0	0	1	4.71	2.2	1.05	8	8	101.07	-1.3	-1.5	-0.23465	-3.392844	8	8	0	0	0
3_4_14_47	-1.68792	1	0	0	0	0	1	0	0	0	5.22	2.2	0.56	10	10	106.42	-0.9	-1.1	0.113898	-2.241036	5	5	0	0	0
41_56_66	-1.96528	2	0	0	0	0	0	1	1	0	5.455	2.28	1.635	19	9.5	148.995	-1.05	-1.25	0.043383	-3.026593	8	8	8	0	0
48_57_68	-2.02258	3	0	0	0	0	1	1	1	0	5.377	2.253	1.277	29	9.667	134.803	-1	-1.2	0.12132	-2.569718	6.667	7	7	6	0
4_14_43	-1.30455	2	1	0	0	0	1	0	0	0	4.74	2.065	0.93	11	5.5	107.145	-0.55	-0.7	0.026446	-2.974772	6	8	4	0	0
4_35_47	-2.10606	3	1	0	0	1	1	0	0	0	5.05	2.11	1.14	20	6.667	135.503	-0.767	-0.933	0.068187	-2.959079	6.667	6	5	9	0
